Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19
Athlético Paranaense,Fortaleza,Goiás,Santos,Palmeiras,Fluminense,Atlético Mineiro,Red Bull Bragantino,Vasco da Gama,Botafogo,Coritiba,São Paulo,Bahia,Flamengo,Ceará,Internacional,Corinthians,Atlético Goianiense,Grêmio,Sport
Atlético Goianiense,Corinthians,Flamengo,Sport,Internacional,Goiás,Ceará,Fluminense,Grêmio,Vasco da Gama,Bahia,Atlético Mineiro,Botafogo,Fortaleza,São Paulo,Red Bull Bragantino,Santos,Athlético Paranaense,Palmeiras,Coritiba
Atlético Mineiro,Flamengo,Corinthians,Ceará,Botafogo,Internacional,Athlético Paranaense,São Paulo,Coritiba,Santos,Red Bull Bragantino,Atlético Goianiense,Grêmio,Vasco da Gama,Fortaleza,Goiás,Fluminense,Bahia,Sport,Palmeiras
Bahia,Botafogo,Coritiba,Red Bull Bragantino,São Paulo,Ceará,Palmeiras,Flamengo,Internacional,Grêmio,Atlético Goianiense,Corinthians,Athlético Paranaense,Sport,Vasco da Gama,Fluminense,Goiás,Atlético Mineiro,Fortaleza,Santos
Botafogo,Bahia,Red Bull Bragantino,Fortaleza,Atlético Mineiro,Flamengo,Internacional,Coritiba,Corinthians,Athlético Paranaense,Vasco da Gama,Santos,Atlético Goianiense,Fluminense,Palmeiras,Sport,Grêmio,Goiás,São Paulo,Ceará
Ceará,Sport,Grêmio,Atlético Mineiro,Vasco da Gama,Bahia,Atlético Goianiense,Fortaleza,Santos,Internacional,Flamengo,Red Bull Bragantino,Goiás,Palmeiras,Athlético Paranaense,Corinthians,São Paulo,Fluminense,Coritiba,Botafogo
Corinthians,Atlético Goianiense,Atlético Mineiro,Grêmio,Corinthians,Fortaleza,São Paulo,Goiás,Botafogo,Palmeiras,Fluminense,Bahia,Sport,Red Bull Bragantino,Santos,Ceará,Athlético Paranaense,Flamengo,Vasco da Gama,Internacional
Coritiba,Internacional,Bahia,Flamengo,Coritiba,Red Bull Bragantino,Sport,Botafogo,Atlético Mineiro,Goiás,Athlético Paranaense,Vasco da Gama,Fluminense,São Paulo,Grêmio,Fortaleza,Palmeiras,Santos,Ceará,Atlético Goianiense
Flamengo,Atlético Mineiro,Atlético Goianiense,Coritiba,Grêmio,Botafogo,Santos,Bahia,Fortaleza,Fluminense,Ceará,Goiás,Palmeiras,Athlético Paranaense,Sport,Vasco da Gama,Red Bull Bragantino,Corinthians,Internacional,São Paulo
Fluminense,Grêmio,Palmeiras,Internacional,Red Bull Bragantino,Athlético Paranaense,Vasco da Gama,Atlético Goianiense,São Paulo,Flamengo,Corinthians,Sport,Coritiba,Botafogo,Goiás,Bahia,Atlético Mineiro,Ceará,Santos,Fortaleza
Fortaleza,Athlético Paranaense,São Paulo,Botafogo,Goiás,Corinthians,Red Bull Bragantino,Ceará,Flamengo,Sport,Grêmio,Internacional,Santos,Atlético Goianiense,Atlético Mineiro,Coritiba,Vasco da Gama,Palmeiras,Bahia,Fluminense
Goiás,São Paulo,Athlético Paranaense,Palmeiras,Fortaleza,Atlético Goianiense,Grêmio,Corinthians,Sport,Coritiba,Internacional,Flamengo,Ceará,Santos,Fluminense,Atlético Mineiro,Bahia,Botafogo,Red Bull Bragantino,Vasco da Gama
Grêmio,Fluminense,Ceará,Corinthians,Flamengo,Vasco da Gama,Goiás,Sport,Atlético Goianiense,Bahia,Fortaleza,Palmeiras,Atlético Mineiro,Internacional,Coritiba,Santos,Botafogo,São Paulo,Athlético Paranaense,Red Bull Bragantino
Internacional,Coritiba,Santos,Fluminense,Atlético Goianiense,Atlético Mineiro,Botafogo,Palmeiras,Bahia,Ceará,Goiás,Fortaleza,São Paulo,Grêmio,Red Bull Bragantino,Athlético Paranaense,Sport,Vasco da Gama,Flamengo,Corinthians
Palmeiras,Vasco da Gama,Fluminense,Goiás,Athlético Paranaense,Santos,Bahia,Internacional,Red Bull Bragantino,Corinthians,Sport,Grêmio,Flamengo,Ceará,Botafogo,São Paulo,Coritiba,Fortaleza,Atlético Goianiense,Atlético Mineiro
Red Bull Bragantino,Santos,Botafogo,Bahia,Fluminense,Coritiba,Fortaleza,Athlético Paranaense,Palmeiras,São Paulo,Atlético Mineiro,Ceará,Vasco da Gama,Corinthians,Internacional,Atlético Goianiense,Flamengo,Sport,Goiás,Grêmio
Santos,Red Bull Bragantino,Internacional,Athlético Paranaense,Sport,Palmeiras,Flamengo,Vasco da Gama,Ceará,Atlético Mineiro,São Paulo,Botafogo,Fortaleza,Goiás,Corinthians,Grêmio,Atlético Goianiense,Coritiba,Fluminense,Bahia
São Paulo,Goiás,Fortaleza,Vasco da Gama,Bahia,Sport,Corinthians,Atlético Mineiro,Fluminense,Red Bull Bragantino,Santos,Athlético Paranaense,Internacional,Coritiba,Atlético Goianiense,Palmeiras,Ceará,Grêmio,Botafogo,Flamengo
Sport,Ceará,Vasco da Gama,Atlético Goianiense,Santos,São Paulo,Coritiba,Grêmio,Goiás,Fortaleza,Palmeiras,Fluminense,Corinthians,Bahia,Flamengo,Botafogo,Internacional,Red Bull Bragantino,Atlético Mineiro,Athlético Paranaense
Vasco da Gama,Palmeiras,Sport,São Paulo,Ceará,Grêmio,Fluminense,Santos,Athlético Paranaense,Atlético Goianiense,Botafogo,Coritiba,Red Bull Bragantino,Atlético Mineiro,Bahia,Flamengo,Fortaleza,Internacional,Corinthians,Goiás
